STALPBR,YEAR,DEPSUMBR,ASSET,CERT,ID
MN,1994,16748,19214,10185,1994_10185_0
MN,1994,22437,26587,10186,1994_10186_0
MN,1994,22110,29317,10187,1994_10187_0
MN,1994,9121,17386,10188,1994_10188_0
MN,1994,6704,17386,10188,1994_10188_2
WI,1994,94875,173362,1018,1994_1018_0
WI,1994,41937,173362,1018,1994_1018_2
WI,1994,12109,173362,1018,1994_1018_3
WI,1994,3412,173362,1018,1994_1018_4
MN,1994,19624,23569,10191,1994_10191_0
MN,1994,59721,86454,10192,1994_10192_0
MN,1994,8804,86454,10192,1994_10192_1
MN,1994,10287,86454,10192,1994_10192_2
MN,1994,22392,26491,10194,1994_10194_0
MN,1994,1719,26491,10194,1994_10194_1
MN,1994,28673,41265,10195,1994_10195_0
MN,1994,7179,41265,10195,1994_10195_1
MN,1994,21542,24062,10196,1994_10196_0
MN,1994,9238,10367,10197,1994_10197_0
MN,1994,29757,34336,10198,1994_10198_0
MN,1994,22457,26346,10199,1994_10199_0
AR,1994,52596,58174,101,1994_101_0
MN,1994,12280,13743,10200,1994_10200_0
MN,1994,19878,22281,10201,1994_10201_0
MN,1994,12356,13719,10202,1994_10202_0
MN,1994,74316,146743,10203,1994_10203_0
MN,1994,27985,146743,10203,1994_10203_1
MN,1994,15492,146743,10203,1994_10203_2
MN,1994,8222,146743,10203,1994_10203_3
MN,1994,11481,12333,10204,1994_10204_0
MN,1994,23701,27115,10206,1994_10206_0
MN,1994,8193,17624,10207,1994_10207_0
MN,1994,7738,17624,10207,1994_10207_1
MN,1994,18478,22407,10208,1994_10208_0
MN,1994,1532,22407,10208,1994_10208_1
MN,1994,46553,54255,10209,1994_10209_0
MN,1994,0,54255,10209,1994_10209_1
MN,1994,0,54255,10209,1994_10209_2
WI,1994,906329,3364767,1020,1994_1020_0
WI,1994,77451,3364767,1020,1994_1020_1
WI,1994,71869,3364767,1020,1994_1020_10
WI,1994,46479,3364767,1020,1994_1020_12
WI,1994,54273,3364767,1020,1994_1020_13
WI,1994,0,3364767,1020,1994_1020_14
WI,1994,58027,3364767,1020,1994_1020_16
WI,1994,0,3364767,1020,1994_1020_17
WI,1994,35751,3364767,1020,1994_1020_18
WI,1994,7534,3364767,1020,1994_1020_19
WI,1994,34075,3364767,1020,1994_1020_20
WI,1994,0,3364767,1020,1994_1020_21
WI,1994,129272,3364767,1020,1994_1020_23
WI,1994,44273,3364767,1020,1994_1020_24
WI,1994,0,3364767,1020,1994_1020_25
WI,1994,3894,3364767,1020,1994_1020_27
WI,1994,60633,3364767,1020,1994_1020_28
WI,1994,71453,3364767,1020,1994_1020_29
WI,1994,63421,3364767,1020,1994_1020_30
WI,1994,31703,3364767,1020,1994_1020_31
WI,1994,12390,3364767,1020,1994_1020_32
WI,1994,11473,3364767,1020,1994_1020_5
WI,1994,141265,3364767,1020,1994_1020_8
WI,1994,0,3364767,1020,1994_1020_9
MN,1994,4858,5458,10211,1994_10211_0
MN,1994,6737,8295,10212,1994_10212_0
MN,1994,25957,113694,10214,1994_10214_0
MN,1994,69360,113694,10214,1994_10214_1
MN,1994,7002,113694,10214,1994_10214_2
MN,1994,22298,24860,10216,1994_10216_0
MN,1994,103401,116830,10218,1994_10218_0
MN,1994,0,116830,10218,1994_10218_1
MN,1994,0,116830,10218,1994_10218_2
WI,1994,46747,125971,1022,1994_1022_0
WI,1994,7203,125971,1022,1994_1022_1
WI,1994,6950,125971,1022,1994_1022_2
WI,1994,8753,125971,1022,1994_1022_3
WI,1994,12727,125971,1022,1994_1022_4
WI,1994,18111,125971,1022,1994_1022_5
WI,1994,0,125971,1022,1994_1022_6
WI,1994,6818,125971,1022,1994_1022_7
WI,1994,3458,125971,1022,1994_1022_8
ND,1994,10278,12208,10231,1994_10231_0
ND,1994,12802,15002,10233,1994_10233_0
ND,1994,31673,35974,10236,1994_10236_0
ND,1994,2615,3252,10240,1994_10240_0
ND,1994,24507,34596,10241,1994_10241_0
ND,1994,5509,34596,10241,1994_10241_1
ND,1994,11728,13714,10243,1994_10243_0
ND,1994,7973,9445,10246,1994_10246_0
ND,1994,47212,189765,10248,1994_10248_0
ND,1994,3180,189765,10248,1994_10248_1
ND,1994,3463,189765,10248,1994_10248_10
ND,1994,21982,189765,10248,1994_10248_2
ND,1994,28601,189765,10248,1994_10248_4
ND,1994,6721,189765,10248,1994_10248_5
ND,1994,20462,189765,10248,1994_10248_6
ND,1994,4359,189765,10248,1994_10248_7
ND,1994,17842,189765,10248,1994_10248_8
ND,1994,5672,189765,10248,1994_10248_9
ND,1994,14287,18156,10249,1994_10249_0
ND,1994,1063,18156,10249,1994_10249_1
WI,1994,59808,101592,1024,1994_1024_0
WI,1994,32796,101592,1024,1994_1024_1
ND,1994,20870,24295,10250,1994_10250_0
ND,1994,36835,40703,10253,1994_10253_0
OH,1994,290371,2990712,10254,1994_10254_0
OH,1994,122716,2990712,10254,1994_10254_1
OH,1994,30798,2990712,10254,1994_10254_10
OH,1994,0,2990712,10254,1994_10254_100
OH,1994,21154,2990712,10254,1994_10254_101
OH,1994,38673,2990712,10254,1994_10254_102
OH,1994,0,2990712,10254,1994_10254_11
OH,1994,40600,2990712,10254,1994_10254_12
OH,1994,15837,2990712,10254,1994_10254_14
OH,1994,7212,2990712,10254,1994_10254_16
OH,1994,66232,2990712,10254,1994_10254_17
OH,1994,58249,2990712,10254,1994_10254_18
OH,1994,43558,2990712,10254,1994_10254_19
OH,1994,32015,2990712,10254,1994_10254_2
OH,1994,17495,2990712,10254,1994_10254_20
OH,1994,30131,2990712,10254,1994_10254_21
OH,1994,19713,2990712,10254,1994_10254_22
OH,1994,24658,2990712,10254,1994_10254_23
OH,1994,13346,2990712,10254,1994_10254_24
OH,1994,10043,2990712,10254,1994_10254_25
OH,1994,0,2990712,10254,1994_10254_26
OH,1994,17726,2990712,10254,1994_10254_27
OH,1994,8691,2990712,10254,1994_10254_28
OH,1994,33772,2990712,10254,1994_10254_29
OH,1994,46921,2990712,10254,1994_10254_3
OH,1994,15750,2990712,10254,1994_10254_30
OH,1994,8140,2990712,10254,1994_10254_31
OH,1994,9711,2990712,10254,1994_10254_32
OH,1994,21432,2990712,10254,1994_10254_33
OH,1994,14837,2990712,10254,1994_10254_34
OH,1994,6762,2990712,10254,1994_10254_36
OH,1994,18589,2990712,10254,1994_10254_37
OH,1994,5719,2990712,10254,1994_10254_38
OH,1994,59511,2990712,10254,1994_10254_39
OH,1994,20013,2990712,10254,1994_10254_4
OH,1994,54736,2990712,10254,1994_10254_40
OH,1994,0,2990712,10254,1994_10254_42
OH,1994,11442,2990712,10254,1994_10254_43
OH,1994,13763,2990712,10254,1994_10254_44
OH,1994,4242,2990712,10254,1994_10254_45
OH,1994,104495,2990712,10254,1994_10254_46
OH,1994,52953,2990712,10254,1994_10254_47
OH,1994,26992,2990712,10254,1994_10254_48
OH,1994,15407,2990712,10254,1994_10254_49
OH,1994,25483,2990712,10254,1994_10254_50
OH,1994,16256,2990712,10254,1994_10254_51
OH,1994,23536,2990712,10254,1994_10254_52
OH,1994,30410,2990712,10254,1994_10254_53
OH,1994,32009,2990712,10254,1994_10254_54
OH,1994,24675,2990712,10254,1994_10254_55
OH,1994,65041,2990712,10254,1994_10254_56
OH,1994,0,2990712,10254,1994_10254_57
OH,1994,31305,2990712,10254,1994_10254_58
OH,1994,39456,2990712,10254,1994_10254_59
OH,1994,33776,2990712,10254,1994_10254_6
OH,1994,0,2990712,10254,1994_10254_60
OH,1994,0,2990712,10254,1994_10254_61
OH,1994,26929,2990712,10254,1994_10254_62
OH,1994,32562,2990712,10254,1994_10254_63
OH,1994,40797,2990712,10254,1994_10254_64
OH,1994,18439,2990712,10254,1994_10254_65
OH,1994,3451,2990712,10254,1994_10254_66
OH,1994,33173,2990712,10254,1994_10254_67
OH,1994,18719,2990712,10254,1994_10254_68
OH,1994,20644,2990712,10254,1994_10254_69
OH,1994,41497,2990712,10254,1994_10254_7
OH,1994,0,2990712,10254,1994_10254_70
OH,1994,13625,2990712,10254,1994_10254_71
OH,1994,1228,2990712,10254,1994_10254_72
OH,1994,0,2990712,10254,1994_10254_73
OH,1994,5643,2990712,10254,1994_10254_74
OH,1994,24159,2990712,10254,1994_10254_75
OH,1994,7469,2990712,10254,1994_10254_76
OH,1994,0,2990712,10254,1994_10254_77
OH,1994,8751,2990712,10254,1994_10254_78
OH,1994,4288,2990712,10254,1994_10254_79
OH,1994,7123,2990712,10254,1994_10254_80
OH,1994,16148,2990712,10254,1994_10254_81
OH,1994,0,2990712,10254,1994_10254_82
OH,1994,6,2990712,10254,1994_10254_83
OH,1994,34628,2990712,10254,1994_10254_84
OH,1994,4537,2990712,10254,1994_10254_85
OH,1994,16077,2990712,10254,1994_10254_86
OH,1994,131002,2990712,10254,1994_10254_87
OH,1994,0,2990712,10254,1994_10254_88
OH,1994,33417,2990712,10254,1994_10254_89
OH,1994,8224,2990712,10254,1994_10254_9
OH,1994,58129,2990712,10254,1994_10254_90
OH,1994,0,2990712,10254,1994_10254_91
OH,1994,11509,2990712,10254,1994_10254_92
OH,1994,16323,2990712,10254,1994_10254_93
OH,1994,0,2990712,10254,1994_10254_94
OH,1994,35852,2990712,10254,1994_10254_95
OH,1994,0,2990712,10254,1994_10254_96
OH,1994,11665,2990712,10254,1994_10254_97
OH,1994,21376,2990712,10254,1994_10254_98
OH,1994,13016,2990712,10254,1994_10254_99
OH,1994,28571,114501,10255,1994_10255_0
OH,1994,14286,114501,10255,1994_10255_1
OH,1994,4082,114501,10255,1994_10255_2
OH,1994,55102,114501,10255,1994_10255_3
WI,1994,88307,223310,1025,1994_1025_0
WI,1994,28762,223310,1025,1994_1025_1
WI,1994,24558,223310,1025,1994_1025_2
WI,1994,9138,223310,1025,1994_1025_3
WI,1994,10263,223310,1025,1994_1025_5
WI,1994,8570,223310,1025,1994_1025_6
WI,1994,6757,223310,1025,1994_1025_7
WI,1994,8254,223310,1025,1994_1025_8
OH,1994,13976,46020,10265,1994_10265_0
OH,1994,4939,46020,10265,1994_10265_1
OH,1994,9239,46020,10265,1994_10265_2
OH,1994,13728,46020,10265,1994_10265_3
OH,1994,39844,44071,10266,1994_10266_0
OH,1994,65472,80467,10267,1994_10267_0
OH,1994,0,80467,10267,1994_10267_1
OH,1994,3026,80467,10267,1994_10267_2
AR,1994,106569,159972,1026,1994_1026_0
AR,1994,14625,159972,1026,1994_1026_1
AR,1994,7087,159972,1026,1994_1026_10
AR,1994,3533,159972,1026,1994_1026_2
AR,1994,1322,159972,1026,1994_1026_3
AR,1994,1247,159972,1026,1994_1026_4
AR,1994,17,159972,1026,1994_1026_5
AR,1994,111,159972,1026,1994_1026_6
AR,1994,90,159972,1026,1994_1026_8
AR,1994,5226,159972,1026,1994_1026_9
OH,1994,193565,1254207,10276,1994_10276_0
OH,1994,22121,1254207,10276,1994_10276_1
OH,1994,27336,1254207,10276,1994_10276_10
OH,1994,26716,1254207,10276,1994_10276_11
OH,1994,34283,1254207,10276,1994_10276_13
OH,1994,28061,1254207,10276,1994_10276_14
OH,1994,27068,1254207,10276,1994_10276_15
OH,1994,21884,1254207,10276,1994_10276_16
OH,1994,16027,1254207,10276,1994_10276_19
OH,1994,40012,1254207,10276,1994_10276_2
